Country;Population_2024;Land_Area_Km2;Density_PKm2;Coords;Lat;Lat_V;N_S
Afghanistan;42,647,492;652,860;65;33 00 N, 65 00 E;33 00;3300;N
Albania;2,791,765;27,400;102;41 00 N, 20 00 E;41 00;4100;N
Algeria;46,814,308;2,381,740;20;28 00 N, 3 00 E;28 00;2800;N
Angola;37,885,849;1,246,700;30;12 30 S, 18 30 E;12 30;1230;S
Antigua and Barbuda;93,772;440;213;17 03 N, 61 48 W;17 03;1703;N
Argentina;45,696,159;2,736,690;17;34 00 S, 64 00 W;34 00;3400;S
Armenia;2,973,840;28,470;104;40 00 N, 45 00 E;40 00;4000;N
Australia;26,713,205;7,682,300;3;27 00 S, 133 00 E;27 00;2700;S
Austria;9,120,813;82,409;111;47 20 N, 13 20 E;47 20;4720;N
Azerbaijan;10,336,577;82,658;125;40 30 N, 47 30 E;40 30;4030;N
Bahamas;401,283;10,010;40;24 15 N, 76 00 W;24 15;2415;N
Bahrain;1,607,049;760;2,115;26 00 N, 50 33 E;26 00;2600;N
Bangladesh;173,562,364;130,170;1,333;24 00 N, 90 00 E;24 00;2400;N
Barbados;282,467;430;657;13 10 N, 59 32 W;13 10;1310;N
Belarus;9,056,696;202,910;45;53 00 N, 28 00 E;53 00;5300;N
Belgium;11,738,763;30,280;388;50 50 N, 4 00 E;50 50;5050;N
Belize;417,072;22,810;18;17 15 N, 88 45 W;17 15;1715;N
Benin;14,462,724;112,760;128;9 30 N, 2 15 E;9 30;930;N
Bhutan;791,524;38,117;21;27 30 N, 90 30 E;27 30;2730;N
Bolivia (Plurinational State of);12,413,315;1,083,300;11;17 00 S, 65 00 W;17 00;1700;S
Bosnia and Herzegovina;3,164,253;51,000;62;44 00 N, 18 00 E;44 00;4400;N
Botswana;2,521,139;566,730;4;22 00 S, 24 00 E;22 00;2200;S
Brazil;211,998,573;8,358,140;25;10 00 S, 55 00 W;10 00;1000;S
Brunei Darussalam;462,721;5,270;88;4 30 N, 114 40 E;4 30;430;N
Bulgaria;6,757,689;108,560;62;43 00 N, 25 00 E;43 00;4300;N
Burkina Faso;23,548,781;273,600;86;13 00 N, 2 00 W;13 00;1300;N
Burundi;14,047,786;25,680;547;3 30 S, 30 00 E;3 30;330;S
